ASS. ATL. REGGIO C.;477917
Lupus in fabula Track & Field;445168
US ATLETICA VEDANO;438202
Brianza Team;406606
Rotten Athletic;356266
Anannasavanna Team;298132
nonno bandi track & field;284542
comedians;271096
Taz Ciclone Atletica;267963
Atletica Corti e Veloci;220321
ATHENA Nike;181729
ATLETICA MARCONI;169641
Napoli;150961
Rayuela;140006
graviteu;133990
Poststrutturalista Fallito;119688
Torpedo Barbarossa;115162
Robur Bomber;110793
Red Panda;103423
Atletica Virtuosi Portici;102240
4PINI;99880
S.A.S;96495
Artica;95525
Atletica MagoPaolone;85895
The Hunters;83248
Lucchirpool;82206
Polisportiva Casarosa;75057
CUS TORINO;74407
Atletica Chiesina;73721
baboom;71825
Atletica Lussi;68123
Piovese;67628
g.s. Artiglio Athletics;62462
I biancoverdi;60035
Mikele;59375
Scussaseatletica;58926
Atletic Ovni;58475
Atletica Rinella;52718
Atletica Buscate;52036
Giovani lepri;50024
Micione;44240
Gargiullo;41868
Fortitudo Vercelli;39949
Abracalabria;39831
UPOL GAVIRATE;39375
Atletica Basilichese;36607
Gold Fires Athletics Team;35959
San Benedetto dei Marsi;34660
Hacksaws;31250
Kingstonians;30000
Atletica Fagionegliese;29315
PoLLiCe VeRDe;28922
Atletica Gradoli;28162
Atletica Rogenese;28056
ErCobra's Athletics Team;26680
The Coach Team;23182
Atletica Alessandria;21848
Pro voyeurs;18808
Diavoli Rossi;18750
DEDS;18750
santacecilia;17857
GS Indomita;17568
RomaPinkConnection;17555
Lyon AC;16875
Catwalk;16822
Boston Bandits;16295
ASD Eretum;15202
Virtus Garibellini Siena;13812
ASD CorriCorri;13812
Atletica Petricci;13205
Atletica Borgo;12095
Voltrese;12003
Tauhorse;11740
LessoPearà;11128
Monteverde Runners;10769
ICA;10553
Atletica Brugnera;9660
Goose Hollow RC;9375
Team Adriatico;8514
FantaPetaz;8482
Atletica Tre Colli Scicli;7720
Dolomiti Indomite;7572
Porto;7500
Scatoleria Val di Peppa;7487
Giulianone Roma;6885
RomaLanciani;6005
Sin Prisa;3769
Athletics Professional Team;3572
Tornado Team;2902
SAV;2839
METZOULA Athletics Club;2679
Pro Sesto II;2500
Atletica Certosa;2500
TURIN;1875
Superkenny Team;1563
MVB Rovereto;1500
La Pantiera;1389
